#,Title,Speaker,Year,Month,Session,URL
51,The Sifting,ElRay L. Christiansen,1971,10,Friday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-sifting?lang=eng
52,The Ten Commandments,Bernard P. Brockbank,1971,10,Friday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-ten-commandments?lang=eng
53,Sacrifice Still Brings Forth Blessings,Hartman Rector Jr.,1971,10,Friday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/sacrifice-still-brings-forth-blessings?lang=eng
54,"“By Love, Serve One Another”",S. Dilworth Young,1971,10,Friday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/by-love-serve-one-another?lang=eng
55,The Vitality of Love,Milton R. Hunter,1971,10,Friday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-vitality-of-love?lang=eng
56,Elijah the Prophet,Howard W. Hunter,1971,10,Friday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/elijah-the-prophet?lang=eng
57,"“Watch, That Ye May Be Ready”",Harold B. Lee,1971,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/watch-that-ye-may-be-ready?lang=eng
58,"Honesty, a Principle of Salvation",Mark E. Petersen,1971,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/honesty-a-principle-of-salvation?lang=eng
59,“The Light Shineth”,Marion G. Romney,1971,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-light-shineth?lang=eng
60,“Thus Saith the Lord”,Theodore M. Burton,1971,10,Saturday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/thus-saith-the-lord?lang=eng
61,Laying a Foundation for the Millennium,LeGrand Richards,1971,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/laying-a-foundation-for-the-millennium?lang=eng
62,Confession and Forsaking: Elements of Genuine Repentance,James A. Cullimore,1971,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/confession-and-forsaking-elements-of-genuine-repentance?lang=eng
63,"“I Was in Prison, and Ye Came unto Me”",Victor L. Brown,1971,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/i-was-in-prison-and-ye-came-unto-me?lang=eng
64,The Things That Matter Most,A. Theodore Tuttle,1971,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/the-things-that-matter-most?lang=eng
65,Thou Shalt Not,Sterling W. Sill,1971,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/thou-shalt-not?lang=eng
66,Our Responsibility: To Save the World,Delbert L. Stapley,1971,10,Saturday Afternoon Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/our-responsibility-to-save-the-world?lang=eng
67,Blessings of the Priesthood,Joseph Fielding Smith,1971,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/blessings-of-the-priesthood?lang=eng
68,You Can Get There from Here,Marvin J. Ashton,1971,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/you-can-get-there-from-here?lang=eng
69,“Strengthen Thy Brethren”,Robert L. Simpson,1971,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/strengthen-thy-brethren?lang=eng
70,Love Unconditional,Marion D. Hanks,1971,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/love-unconditional?lang=eng
71,A New Health Missionary Program,James O. Mason,1971,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/a-new-health-missionary-program?lang=eng
72,Strive for Excellence,Dallin H. Oaks,1971,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/strive-for-excellence?lang=eng
73,Continuity of Service,N. Eldon Tanner,1971,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/continuity-of-service?lang=eng
74,Responsibilities of the Priesthood,Harold B. Lee,1971,10,Priesthood Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/responsibilities-of-the-priesthood?lang=eng
75,“Where Art Thou?”,N. Eldon Tanner,1971,10,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/where-art-thou?lang=eng
76,“Turn Heavenward Our Eyes”,John H. Vandenberg,1971,10,Sunday Morning Session,https://www.churchofjesuschrist.org/study/general-conference/1971/10/turn-heavenward-our-eyes?lang=eng
